id;group;dbh;length_up;length_right;length_down;length_left;retention_up;retention_right;retention_down;retention_left
7026;MD;645;35;60;60;55;1;1;1;1
7059;MD;650;45;46;73;33;1;1;1;1
7126;MD;600;46;53;49;;1;1;1;0
7156;MD;530;;42;;;0;1;0;0
7153;MD;540;41;52;45;;1;1;1;0
7187;MD;480;58;55;56;47;1;1;1;1
7224;MD;420;42;44;44;47;1;1;1;1
7254;MD;540;60;55;53;53;1;1;1;1
7253;MD;460;43;35;36;34;1;1;1;1
7288;MD;510;41;51;50;42;1;1;1;1
7629;MD;480;84;50;51;29;1;1;1;1
7663;MD;300;43;40;37;34;1;1;1;1
7016;HJK;535;75;76;59;86;1;1;2;1
7013;HJK;450;43;;;42;1;0;0;1
7011;HJK;428;57;59;62;35;1;1;1;1
7009;HJK;491;58;68;60;48;1;2;1;1
7043;HJK;564;63;58;49;;1;2;1;0
7107;HJK;261;23;24;19;35;0;1;1;1
7105;HJK;399;43;33;38;38;0;0;0;0
7137;HJK;467;51;44;67;50;0;1;0;1
7141;HJK;392;32;39;54;51;1;1;1;1
7144;HJK;520;56;50;46;38;1;1;1;1
7171;HJK;371;46;42;40;34;1;1;1;1
7236;HJK;169;50;61;31;39;1;1;1;1
7237;HJK;190;31;14;24;14;1;1;1;1
7238;HJK;445;35;52;46;48;1;1;1;1
7239;HJK;324;35;46;35;49;1;1;1;1
7268;HJK;479;26;9;31;41;1;1;1;1
7267;HJK;440;49;61;44;49;1;1;1;1
7265;HJK;470;40;51;40;35;1;1;1;1
7297;HJK;414;60;54;34;35;2;1;1;1
7334;HJK;603;75;48;56;44;1;1;1;1
7397;HJK;460;36;30;33;33;1;1;1;1
7446;HJK;495;58;30;62;66;1;1;1;1
7490;HJK;523;34;61;70;55;1;1;1;1
7524;HJK;467;40;37;50;66;1;1;1;1
7526;HJK;449;61;32;54;51;1;1;1;1
7590;HJK;218;45;35;34;30;1;1;1;1
7587;HJK;415;48;48;50;40;1;1;1;1
7585;HJK;543;53;40;46;47;1;1;1;1
7618;HJK;396;50;48;;35;1;1;0;1
7654;HJK;588;44;55;;38;1;1;0;1
7584;HJK;400;54;52;64;45;1;1;1;1
7564;HJK;428;50;39;56;41;1;1;1;1
7026;HJK;436;51;45;;44;1;1;1;1
7629;HJK;426;48;75;74;50;1;1;1;1
7210;CJ;480;;;61;75;0;0;0;0
7248;CJ;360;27;36;;40;1;0;0;1
7245;CJ;560;;61;62;54;0;0;0;1
7241;CJ;484;32;41;48;53;1;0;0;0
7311;CJ;431;45;30;47;54;1;0;0;0
7309;CJ;504;36;34;44;;1;0;0;0
7337;CJ;226;51;51;56;43;1;1;1;1
7340;CJ;430;37;46;60;56;1;0;1;1
7341;CJ;433;42;48;41;61;1;0;1;0
7371;CJ;431;40;55;;43;1;1;0;1
7369;CJ;440;52;48;43;46;1;1;1;1
7401;CJ;363;53;49;53;46;1;2;1;1
7407;CJ;433;;47;51;76;0;1;1;1
7465;CJ;547;46;46;40;47;1;1;1;1
7468;CJ;312;37;40;42;50;1;1;1;1
7504;CJ;316;37;48;44;40;1;1;1;1
7500;CJ;490;40;;45;40;1;1;1;1
7529;CJ;341;37;30;33;46;1;1;1;1
7595;CJ;559;53;47;59;64;1;1;1;1
7600;CJ;270;40;37;36;31;1;1;1;1
7629;CJ;458;48;58;56;51;0;1;1;1
7657;CJ;577;52;46;62;;2;1;1;1
7663;CJ;240;41;31;39;30;1;1;1;1
7584;CJ;401;67;40;49;47;1;1;1;0
7618;CJ;438;;53;59;51;0;0;0;0
7007;A;384;51;44;53;66;1;1;0;1
7039;A;338;64;54;40;59;1;1;1;0
7033;A;545;33;41;56;52;0;0;0;0
7066;A;420;61;67;60;65;1;1;1;0
7068;A;440;19;37;39;32;0;0;0;0
7069;A;208;22;39;26;19;1;1;1;1
7038;A;406;45;42;41;38;1;1;0;0
7104;A;448;29;34;55;55;0;0;0;0
7132;A;620;29;;35;;0;;0;
7129;A;506;46;;34;30;1;;0;0
7225;A;460;30;30;37;39;0;0;0;1
7227;A;306;29;27;21;38;0;0;0;0
7200;A;450;61;;65;63;0;;0;0
7232;A;304;38;;;30;0;;;0
7264;A;426;;26;29;;;0;0;
7328;A;430;47;38;49;45;0;0;1;0
7360;A;410;;;32;;;;0;
7326;A;610;46;39;33;45;0;1;0;0
7289;A;492;38;;;48;0;;;0
7387;A;504;53;59;;72;1;1;;1
7420;A;390;58;71;61;58;1;1;1;1
7456;A;480;35;34;28;38;1;0;0;1
7486;A;444;51;45;40;46;0;1;0;0
7484;A;386;;;;58;;;;0
7482;A;488;62;54;45;33;1;1;0;1
7584;A;397;49;40;50;44;1;0;0;1
7013;A;415;30;;;;0;;;
